_id, activities, financings, legalName, name, profile, projects
{ "$oid" : "52657dbaf3dd101237000007"},[ "Comércio varejista de gás liqüefeito de petróleo (GLP)"],[ ],"BAHIANA DISTRIBUIDORA DE GAS LTDA","Bahiana Distribuidora de Gás","",[ ]
{ "$oid" : "5265936911e44c9241000033"},[ "Administração pública em geral"],[ ],"","Município de Rondonópolis","",[ ]
{ "$oid" : "52657f87f3dd10123700000a"},[ "Transporte ferroviário de carga" , "Organização logística do transporte de carga"],[ ],"Brado Logística S/A","Brado Logística","",[ ]
{ "$oid" : "526582a3f69b18f13c000005"},[ "Distribuição de energia elétrica"],[ ],"Companhia Energética do Maranhão","CEMAR","",[ ]
{ "$oid" : "5265938611e44c9241000035"},[ "Administração pública em geral"],[ ],"","Município de São Luís","",[ ]
{ "$oid" : "52658ed711e44c924100002d"},[ "Transporte marítimo de cabotagem - Carga"],[ ],"MC Log S/A Logistica e Transporte","MC Log","",[ ]
{ "$oid" : "5265933811e44c924100002f"},[ "Extração de minério de alumínio"],[ ],"Mineração Rio do Norte S/A","Mineração Rio do Norte","",[ ]
{ "$oid" : "526580e9f3dd10123700000c"},[ "Geração de energia elétrica"],[ ],"Camargo Correa Geração De Energia S/A","Camargo Corrêa - Geração De Energia","",[ ]
{ "$oid" : "526582bef69b18f13c000007"},[ "Geração de energia elétrica"],[ ],"","Companhia Hidrelétrica Teles Pires","",[ ]
{ "$oid" : "526595e511e44c924100004b"},[ "Geração de energia elétrica"],[ ],"","Santo Antonio Energia","",[ ]
{ "$oid" : "52658a3c11e44c9241000019"},[ "Administração pública em geral"],[ ],"","Estado do Pará","",[ ]
{ "$oid" : "526588e611e44c924100000f"},[ "Administração pública em geral"],[ ],"","Estado De Mato Grosso","",[ ]
{ "$oid" : "526582e1f69b18f13c000009"},[ "Geração de energia elétrica"],[ ],"","Cravari Geração De Energia S.A.","",[ ]
{ "$oid" : "526587ec11e44c924100000b"},[ "Operador de transporte multimodal - OTM"],[ ],"Equador Log S.A.","Equador Log","",[ ]
{ "$oid" : "5265939a11e44c9241000037"},[ "Administração pública em geral"],[ ],"","Município de Sinop","",[ ]
{ "$oid" : "52658334f69b18f13c00000b"},[ "Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica"],[ ],"","ECE Participações S/A","",[ ]
{ "$oid" : "52658bd411e44c924100001d"},[ "Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas"],[ ],"Indústria Metalúrgica e Mecânica da Amazônia Ltda.","IMMA","",[ ]
{ "$oid" : "5265676a4d38888316000003"},[ "Extração de minério de alumínio" , "Beneficiamento de minério de alumínio" , "Produção de alumínio e suas ligas em formas primárias"],[ ],"Alcoa Aluminio S/A","Alcoa Alumínio","",[ ]
{ "$oid" : "52658198f69b18f13c000003"},[ "Geração de energia elétrica"],[ ],"Centrais Elétricas do Pará S/A","CELPA","",[ ]
{ "$oid" : "52658e7611e44c9241000029"},[ "Distribuição de combustíveis gasosos por redes urbanas"],[ ],"Liquigás Distribuidora S/A","Liquigás Distribuidora","",[ ]
{ "$oid" : "5265964b11e44c9241000051"},[ "Fabricação de celulose e outras pastas para a fabricação de papel" , "Fabricação de papel"],[ ],"Suzano Papel e Celulose S/A","Suzano Papel e Celulose","",[ ]
{ "$oid" : "52659b4611e44c9241000065"},[ "Fabricação de cimento"],[ ],"Votorantim Cimentos N/NE S/A","Votorantim Cimentos N/NE","",[ ]
{ "$oid" : "526562a26f9fb5ed0f000007"},[ "Captação, tratamento e distribuição de água"],[ ],"Águas do Amazonas S/A","Águas do Amazonas","",[ ]
{ "$oid" : "5265887911e44c924100000d"},[ "Transmissão de energia elétrica"],[ ],"Estação Transmissora de Energia S/A","ETE - Estação Transmissora de Energia","",[ ]
{ "$oid" : "5265967311e44c9241000053"},[ "Geração de energia elétrica"],[ ],"Telegráfica Energia S.A.","Telegráfica Energia","",[ ]
{ "$oid" : "526568404bc55edb17000003"},[ "Transporte ferroviário de carga"],[ ],"All América Latina Logística Malha Norte S/A","ALL Logística Malha Norte","",[ ]
{ "$oid" : "526584a611e44c9241000005"},[ "Transmissão de energia elétrica"],[ ],"Encruzo Novo Transmissora de Energia Ltda.","Encruzo Novo","",[ ]
{ "$oid" : "52658d7a11e44c9241000023"},[ "Comércio varejista de combustíveis para veículos automotores"],[ ],"Ipiranga Produtos de Petróleo S/A","Petróleo Ipiranga","",[ ]
{ "$oid" : "52657d3cf3dd101237000003"},[ "Extração de minério de alumínio" , "Beneficiamento de minério de alumínio" , "Produção de alumínio e suas ligas em formas primárias"],[ ],"Alumina Limited Do Brasil S/A","Alumina Limited","",[ ]
{ "$oid" : "5265867911e44c9241000007"},[ "Geração de energia elétrica"],[ ],"Energética Águas da Pedra S/A","Energética Águas da Pedra","",[ ]
{ "$oid" : "52658deb11e44c9241000025"},[ "Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos" , "Fabricação de adubos e fertilizantes"],[ ],"Itafós Mineração Ltda","Itafós Mineração","",[ ]
{ "$oid" : "5265955c11e44c9241000043"},[ "Transmissão de energia elétrica"],[ ],"Porto Velho Transmissora De Energia S/A","Porto Velho Transmissora De Energia","",[ ]
{ "$oid" : "5265970311e44c9241000057"},[ "Transmissão de energia elétrica"],[ ],"Transmissora Matogrossense De Energia S/A","Transmissora Matogrossense De Energia","",[ ]
{ "$oid" : "52659a1a11e44c9241000061"},[ "Extração de minério de ferro"],[ ],"Vale S/A","Vale","",[ ]
{ "$oid" : "52657d87f3dd101237000005"},[ "Transmissão de energia elétrica"],[ ],"Atlantico - Concess Transmissao Energia Do Brasil Ltda","Atlântico - Concessionária de Transmissão de Energia","",[ ]
{ "$oid" : "526593c611e44c924100003b"},[ "Administração pública em geral"],[ ],"","Município de Rio Branco","",[ ]
{ "$oid" : "52658c6311e44c9241000021"},[ "Transmissão de energia elétrica"],[ ],"Interligação Elétrica do Madeira S/A","IE Madeira","",[ ]
{ "$oid" : "526595f711e44c924100004d"},[ "Geração de energia elétrica"],[ ],"Sapezal Energia S.A.","Sapezal Energia","",[ ]
{ "$oid" : "5265959511e44c9241000045"},[ "Geração de energia elétrica"],[ ],"Rondon Energia S.A.","Rondon Energia","",[ ]
{ "$oid" : "5265994811e44c924100005b"},[ "Produção de ferro-gusa"],[ ],"Usipar Usina Siderurgica Do Para","USIPAR","",[ ]
{ "$oid" : "52658e8b11e44c924100002b"},[ "Transmissão de energia elétrica"],[ ],"Manaus Transmissora De Energia S/A","Manaus Transmissora de Energia","",[ ]
{ "$oid" : "526586a211e44c9241000009"},[ "Geração de energia elétrica"],[ ],"Energia Sustentável do Brasil S.A.","Energia Sustentável do Brasil","",[ ]
{ "$oid" : "526595b511e44c9241000047"},[ "Geração de energia elétrica"],[ ],"Salto Jauru Energetica S/A - SAJESA","SAJESA","",[ ]
{ "$oid" : "52658112f3dd10123700000e"},[ "Geração de energia elétrica"],[ ],"Campos De Julio Energia S/A","Campos de Júlio Energia","",[ ]
{ "$oid" : "5265962011e44c924100004f"},[ "Geração de energia elétrica"],[ ],"Suez Energia Renovavel S/A","Suez Energia Renovável","",[ ]
{ "$oid" : "52658c2d11e44c924100001f"},[ "Fabricação de cimento"],[ ],"Intercement Brasil S/A","Intercement Brasil","",[ ]
{ "$oid" : "5265892811e44c9241000011"},[ "Administração pública em geral"],[ ],"","Estado de Rondônia","",[ ]
{ "$oid" : "526583cff69b18f13c00000d"},[ "Transmissão de energia elétrica"],[ ],"Empresa de Transmissãoo de Energia do Mato Grosso S.A.","ETEMSA","",[ ]
{ "$oid" : "5265814af3dd101237000010"},[ "Transmissão de energia elétrica"],[ ],"Catxerê Transmissora de Energia S.A","Catxerê Transmissora de Energia","",[ ]
{ "$oid" : "5265979511e44c9241000059"},[ "Transporte dutoviário"],[ ],"Transportadora Associada De Gás S/A TAG","TAG","",[ ]
{ "$oid" : "526599d211e44c924100005d"},[ "Geração de energia elétrica"],[ ],"UTE Parnaiba Geracao De Energia S/A","UTE Parnaiba","",[ ]
{ "$oid" : "526596e011e44c9241000055"},[ "Operador de transporte multimodal - OTM"],[ ],"Terminal Itiquira S/A","Terminal Itiquira","",[ ]
{ "$oid" : "52658a7f11e44c924100001b"},[ "Geração de energia elétrica"],[ ],"Ferreira Gomes Energia S/A","Ferreira Gomes Energia","",[ ]
{ "$oid" : "52658e5211e44c9241000027"},[ "Transmissão de energia elétrica"],[ ],"Jauru Transmissora de Energia Ltda","Jauru Transmissora de Energia","",[ ]
{ "$oid" : "526595ca11e44c9241000049"},[ "Geração de energia elétrica"],[ ],"Santa Gabriela Energética S/A","Santa Gabriela Energética","",[ ]
{ "$oid" : "52659b1511e44c9241000063"},[ "Fabricação de artefatos de material plástico para uso pessoal e doméstico"],[ ],"Videolar S/A","Videolar","",[ ]
{ "$oid" : "526593db11e44c924100003d"},[ "Transmissão de energia elétrica"],[ ],"Norte Brasil Transmissora De Energia S/A","Norte Brasil","",[ ]
{ "$oid" : "5265846011e44c9241000003"},[ "Transmissão de energia elétrica"],[ ],"Empresa Regional de Transmissão de Energia S/A","ERTE","",[ ]
{ "$oid" : "526599ff11e44c924100005f"},[ "Geração de energia elétrica"],[ ],"Ute Porto Do Itaqui Geracao De Energia Ltda.","UTE Porto do Itaqui","",[ ]
{ "$oid" : "5265895011e44c9241000015"},[ "Administração pública em geral"],[ ],"","Estado do Amazonas","",[ ]
{ "$oid" : "5265896b11e44c9241000017"},[ "Administração pública em geral"],[ ],"","Estado do Mato Grosso","",[ ]
{ "$oid" : "52659b6011e44c9241000067"},[ "Fabricação de cimento"],[ ],"Votorantim Cimentos S/A","Votorantim Cimentos","",[ ]
{ "$oid" : "5265952811e44c9241000041"},[ "Geração de energia elétrica"],[ ],"Parecis Energia S.A.","Parecis Energia","",[ ]
{ "$oid" : "526593b011e44c9241000039"},[ "Administração pública em geral"],[ ],"","Município de Várzea Grande","",[ ]
{ "$oid" : "5265893f11e44c9241000013"},[ "Administração pública em geral"],[ ],"","Estado do Acre","",[ ]
{ "$oid" : "5265935511e44c9241000031"},[ "Administração pública em geral"],[ ],"","Município de Belém","",[ ]
{ "$oid" : "526593ec11e44c924100003f"},[ "Geração de energia elétrica"],[ { "$oid" : "5265f64c40a44e0e89000084"} , { "$oid" : "526604592f7d5a30e4000003"}],"Norte Energia S/A","Norte Energia","",[ ]
