Nome,Perfil
AGUAS DO AMAZONAS S/A,"A Águas do Amazonas é adminsitrada pelos Grupos Águas do Brasil e Solví. O Grupo Águas do Brasil - Saneamento Ambiental Águas do Brasil (SAAB) – é formado pelas empresas Developer S.A. (Grupo Carioca Engenharia), Queiroz Galvão Participações-Concessões S.A., Trana Construções Ltda. e Construtora Cowan S.A."
COMPANHIA HIDRELETRICA TELES PIRES,"A companhia, responsável pela usina de Teles Pires, é formada pela Eletrosul, Furnas, Odenbrecht e Teles Pires Participações. Esta última é formada pela Eletrosul, Furnas e Neoenergia."
ECE PARTICIPACOES S/A,"A ECE Participações é uma sociedade anônima de capital fechado controlada integral da Companhia Energética do Jari (CEJA), companhia do Grupo EDP - Energias do Brasil."
USIPAR USINA SIDERURGICA DO PARA,"A empresa é a maior produtora de ferro gusa do país. A Usipar é pertencente ao Grupo Cosipar que, por sua vez, é parte do Grupo Costa Monteiro. A Usipar também está associada à empresa inglesa Mir Steel UK. Tinham a Vale como fornecedoras."
FERREIRA GOMES ENERGIA S/A,"A empresa é um dos principais investimentos em geração do Grupo Alupar Investimento S/A, holding do setor de energia, com atuação no Brasil na América Latina. A Alupar integra o Grupo Alusa, conglomerado de transmissão e geração de energia elétrica, engenharia e construção para infraestrutura, telecomunicações e TV a cabo e fabricação de estruturas e pré-moldados de concreto."
TERMINAL ITIQUIRA S/A,"A empresa, responsável pelo Terminal de Itiquira, é administrada pela Seara."
ENERGETICA AGUAS DA PEDRA S. A.,"A Energética Águas da Pedra, consórcio responsável pela usina de Dardanelos, é formada pela Neoenergia, Eletronorte, Odebrecht e Chesf."
ENERGIA SUSTENTÁVEL DO BRASIL S.A.,"A Energia Sustentável do Brasil é responsável pela construção, manutenção, operação e venda da energia da usina de Jirau. A empresa é formada pela GDF Suez, Eletrosul e Chesf."
UTE PARNAIBA GERACAO DE ENERGIA S/A,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural."
UTE PORTO DO ITAQUI GERAÇÃO DE ENERGIA LTDA.,"A Eneva atua na geração, exploração e venda de energia elétrica através de carvão mineral, gás e fontes renováveis. A antiga MPX Energia também opera na mineração de carvão e produção de gás natural."
IMMA - INDUST. METALURGICA E MECÂNICA DA AMAZONIA LTDA.,A IMMA - Indústria Metalúrgica e Mecânica da Amazônia - é uma empresa constituída por capitais da Alstom do Brasil e Bardella.
TRANSPORTADORA ASSOCIADA DE GÁS S/A TAG,"A TAG, maior transportadora de gás natural do país, é subsidiária da Petrobrás Gás (Gaspetro). A empresa atua no segmento de transporte e armazenagem de gás natural em geral, por meio de gasodutos, terminais ou embarcações próprios ou de terceiros."
COMPANHIA ENERGETICA DO MARANHAO - CEMAR,"Cia energética do Estado, composta pelas empresas Energia Equatorial, Eletrobras e ações Free Float."
CENTRAIS ELÉTRICAS DO PARA S/A- CELPA,"Cia energética do Estado, composta pelas empresas Energia Equatorial, Eletrobras e ações minoritárias."
EMPRESA DE TRANSMISSAO DE ENERGIA DO MATO GROSSO S.A.,Concessionária de serviço de transmissão de energia elétrica pertencente a Alupar Investimento S.A e Bimetal Indústria Metalúrgica Ltda.
TRANSMISSORA MATOGROSSENSE DE ENERGIA S/A,"Concessionária de transmissão de energia elétrica pertencente às Centrais Elétrica do Norte S.A (Eletronorte), Alupar Investimento S.A. e Mavi Engenharia e Construções Ltda."
SANTO ANTONIO ENERGIA S/A,"Concessionária responsável pela implantação e operação da Usina Hidrelétrica Santo Antônio. São acionistas Furnas (39%), Caixa FIP Amazônia Energia (20%), Odebrecht Energia (18,6%), Andrade Gutierrez (12,4%) e Cemig (10%)."
MANAUS TRANSMISSORA DE ENERGIA S/A,"Consórcio responsável pela linha Oriximiná (PA) - Itacoatiara (AM) - Cariri (AM). É controlada pela Abengoa, Eletronorte e Chesf."
NORTE ENERGIA S/A,"Consórcio responsável pela UHE Belo Monte, composto pela Eletrobrás, Eletronorte, Chesf, Petros, Funcef, Neo Energia, Cemig, Light, Vale e Sinobrás."
INTERCEMENT BRASIL S/A,"Empresa brasileira de capital privado controlada pela Camargo Corrêa S. A., a InterCement é líder nos mercados de cimento de Portugal, Argentina, Moçambique e Cabo Verde, vice-líder nos mercados brasileiro e paraguaio, além de atuar na África do Sul e Egito"
ATLANTICO - CONCESS TRANSMISSAO ENERGIA DO BRASIL LTDA,Empresa cearense de transmissão de energia.
INTERLIGACAO ELETRICA DO MADEIRA S/A,"Empresa constituída pela Companhia de Transmissão de Energia Elétrica Paulista (CTEEP), Companhia Hidro Elétrica do São Francisco e por Furnas."
EMPRESA REGIONAL DE TRANSMISSAO DE ENERGIA S/A,"Empresa controlada pelo Grupo Schahin, de engenharia, imobiliário, telecomunicações, petróleo, gás e energia, e pela Companhia Técnica de Engenharia Elétrica, Alusa. Os grupos são dois dos principais grupos de transmissão no Brasil."
ALCOA ALUMINIO S/A,"Empresa da Alcoa Inc, líder global na produção de alumínio primário, alumínio transformado, assim como a maior mineradora de bauxita e refinadora de alumina do mundo."
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia."
EQUADOR LOG S.A.,"Empresa de logística e armazenagem do grupo Equador Petroléo, distribuidora de petróleo."
ITAFOS MINERACAO LTDA,"Empresa de mineração para produção de fertilizantes. É subsidiária da MbAC Fertilizer Corp., produtora integrada dos fertilizantes fosfato e potássio nos mercados brasileiro e latino-americano."
BRADO LOGISTICA S/A,"Empresa de transporte de contêineres no Brasil e MERCOSUL com a intermodalidade ferroviári. É composta pelos grupos All (América Latina Logística), BRZ Investimentos, Deminvest, Markinvest e Caixa."
SANTA GABRIELA ENERGETICA S/A,"Empresa do Grupo Brennand Energia, divisão do Grupo Brennand, e que atua em geração, comercialização e gestão de Energia Elétrica, com negócios nos estados de Mato Grosso e Mato Grosso do Sul."
CATXERE TRANSMISSORA DE ENERGIA S.A,Empresa do grupo CYMI MASA. Este grupo atua na construção e operação de linhas de transmissão e subestações de alta tensão e desde 2002 investe no setor de energia no Brasil.
MC LOG S/A LOGISTICA E TRANSPORTE,Empresa do ramo de transporte e logística viário e aeroportuário no Estado do Pará.
SUZANO PAPEL E CELULOSE S/A,Empresa do segmento de celulose de eucalipto. Segunda maior produtora de celulose de eucalipto do mundo e líder de papéis brancos na América do Sul.
LIQUIGAS DISTRIBUIDORA S/A,"Empresa do setor de engarrafamento, distribuição e comercialização de Gás Liquefeito de Petróleo (GLP). É propriedade da Petrobrás."
BAHIANA DISTRIBUIDORA DE GAS LTDA,"Empresa fo grupo Ultragaz, do Grupo Ultra, um dos maiores grupos empresariais privados do Brasil, com atuação em distribuição de combustíveis, indústria química, armazenagem de granéis líquidos. Todas as empresas são subsidiárias da holding Ultrapar."
VIDEOLAR S/A,"Empresa produtora de poliestireno (espécie de resina) para fabricação de filmes, CDs, DVDs e Blu-ray, dentre outros, a maior fabricante de mídia ótica e magnética do país."
ENCRUZO NOVO TRANSMISSORA DE ENERGIA LTDA,Empresa responsável pela Linha de transmissão Miranda (MA) - Encruzo Novo (MA) e da subestação Encruzo Novo (MA).
JAURU TRANSMISSORA DE ENERGIA S.A.,"Empresa responsável pela linha Jauru - Vilhena e propriedade da Elecnor Transmissão de Energia, da Isolux Energia e Participações e da Lintran do Brasil Participações."
CAMPOS DE JULIO ENERGIA S/A,"Empresa responsável pela PCH Cidezal e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena."
SAPEZAL ENERGIA S.A.,"Empresa responsável pela PCH Sapezal e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena."
TELEGRAFICA ENERGIA S.A.,"Empresa responsável pela PCH telegráfica e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena."
VOTORANTIM CIMENTOS N/NE S/A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria."
VOTORANTIM CIMENTOS S.A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria."
CAMARGO CORREA GERAÇÃO DE ENERGIA S/A,"Grupo de engenharia responsável por obras como a ponte Rio-Niterói, hidrelétricas de Itaipu, Ilha Solteira e Tucuruí, rodovias Castelo Branco e Imigrantes à Ferrovia do Aço, Estaleiro Atlântico Sul, metrô de São Paulo"
ALL AMÉRICA LATINA LOGÍSTICA MALHA NORTE S/A,"Maior empresa independente de serviços de logística da América do Sul, operando nos setores ferroviários e rodoviários."
IPIRANGA PRODUTOS DE PETROLEO S/A,Maior empresa privada do segmento de distribuição de combustíveis no Brasil e a segunda entre todas as distribuidoras. É responsável pelas operações brasileiras do Grupo Texaco.
PARECIS ENERGIA S.A.,"Responsável pela PCH Parecis, é subsidiária da GPI Participações e Investimentos, holding que desenvolve projetos, estrutura operações financeiras e participa de uma série de empreendimentos no campo da infra-estrutura, focado em saneamento e energia elétrica."
RONDON ENERGIA S.A.,Responsável pela PCH Rondon. Sem mais informações.
SALTO JAURU ENERGETICA S/A - SAJESA,"Responsável pela PCH Salto Jauru. Cerca de 70% da empresa é do grupo Brascan, atual Brookfield Brasil, grupo gestor de investimentos com negócios nos setores mobiliário, de infraestrutura, florestal, agropecuário, de private equity e financeiro."
CRAVARI GERAÇÃO DE ENERGIA S.A.,"Sociedade anônima de capital fechado responsável pela PCH Bocaiúva, parte da Silea Participações Ltda."
ESTACAO TRANSMISSORA DE ENERGIA S/A,"Sociedade do setor de transmissão de energia controlada pela Eletrosul, Eletronorte, Abengoa e Andrade Gutierrez."
NORTE BRASIL TRANSMISSORA DE ENERGIA S/A,"Sociedade que atua na transmissão de energia e é composta pela Eletronorte, Eletrosul, Abengoa Brasil e Andrade Gutierrez"
RIO BRANCO TRANSMISSORA DE ENERGIA S/A,Sociedade responsável pela linha de transmissão Porto Velho - Albuna - Rio Branco. É controlada pela Centrais Elétricas do Norte do Brasil S/A – Eletronorte.
PORTO VELHO TRANSMISSORA DE ENERGIA S/A,Sociedade responsável por estações e subestações em Porto Velho. É controlada pela Centrais Elétricas do Sul do Brasil S/A – Eletrosul
ALUMINA LIMITED DO BRASIL S/A,Subsidiária brasileira da companhia australiana de mineração de bauxita. A empresa formou uma Joint Venture com a Alcoa.
ESTADO DE RONDÔNIA,
ESTADO DO ACRE,
ESTADO DO AMAZONAS,
ESTADO DO MATO GROSSO,
ESTADO DO PARA,
ESTADO DO PARÁ,
MINERACAO RIO DO NORTE SA,"Maior produtora brasileira de bauxita. Os principais acionistas da empresa são Vale, Alcoa, CBR, Alcan e BHPBilliton."
MUNICÍPIO DE BELÉM,
MUNICÍPIO DE RONDONÓPOLIS,
MUNICÍPIO DE SÃO LUIS,
MUNICÍPIO DE SÃO LUÍS,
MUNICÍPIO DE SINOP,
MUNICÍPIO DE VÁRZEA GRANDE,
MUNICÍPIO RIO BRANCO,
SUEZ ENERGIA RENOVAVEL S/A,"O grupo francês GDF SUEZ é o segundo maior do mundo no ramo de energia, atuando na geração e distribuição de eletricidade, gás natural e energia renovável."